l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment,created_at
74055,6014,783,1,34.00,31280.34,0.00,0.08,R,F,1992-07-25,1992-06-10,1992-08-16,DELIVER IN PERSON,SHIP,. fluffily regular asymptotes sleep f,2025-01-31 12:00:00
74055,4655,910,2,8.00,12477.20,0.09,0.07,A,F,1992-07-20,1992-05-19,1992-07-28,DELIVER IN PERSON,AIR," after the packages. regular, ironic accou",2025-01-31 12:00:00
74055,14364,365,3,35.00,44742.60,0.07,0.06,A,F,1992-05-27,1992-06-14,1992-06-18,NONE,TRUCK,packages nag carefully ab,2025-01-31 12:00:00
74055,14094,623,4,50.00,50404.50,0.07,0.03,R,F,1992-07-15,1992-07-05,1992-07-17,DELIVER IN PERSON,MAIL,bout the evenly unusual packages; th,2025-01-31 12:00:00
74055,11454,455,5,42.00,57348.90,0.10,0.08,A,F,1992-07-23,1992-07-08,1992-08-09,DELIVER IN PERSON,SHIP,"yly regular packages. special, ironic",2025-01-31 12:00:00
454791,9830,608,1,40.00,69593.20,0.05,0.05,R,F,1992-06-24,1992-06-20,1992-07-11,TAKE BACK RETURN,MAIL,oze! carefull,2025-01-31 12:00:00
454791,5298,64,2,13.00,15642.77,0.10,0.02,A,F,1992-05-02,1992-05-19,1992-05-10,NONE,REG AIR,nusual sentim,2025-01-31 12:00:00
164711,8253,28,1,34.00,39482.50,0.09,0.05,A,F,1992-04-27,1992-07-23,1992-05-22,NONE,AIR,ans. asymptotes ,2025-01-31 12:00:00
164711,2619,124,2,15.00,22824.15,0.01,0.00,A,F,1992-05-18,1992-06-12,1992-06-11,TAKE BACK RETURN,TRUCK,es boost furiou,2025-01-31 12:00:00
164711,6740,997,3,38.00,62576.12,0.00,0.00,R,F,1992-07-17,1992-06-11,1992-08-12,DELIVER IN PERSON,MAIL,out the quickly,2025-01-31 12:00:00
164711,6595,852,4,38.00,57060.42,0.09,0.04,A,F,1992-07-16,1992-07-05,1992-08-06,TAKE BACK RETURN,FOB,lyly bold somas ought t,2025-01-31 12:00:00
164711,6979,980,5,34.00,64122.98,0.04,0.06,R,F,1992-05-09,1992-05-26,1992-05-24,DELIVER IN PERSON,RAIL,"s. ironic, final ideas haggle s",2025-01-31 12:00:00
164711,12288,551,6,33.00,39609.24,0.03,0.07,A,F,1992-06-12,1992-06-25,1992-07-03,NONE,TRUCK,ccounts hinder,2025-01-31 12:00:00
337861,3035,795,1,49.00,45963.47,0.07,0.03,A,F,1992-07-17,1992-07-06,1992-07-30,DELIVER IN PERSON,FOB,atelets can haggle fluffily according to t,2025-02-28 12:00:00
337861,18309,114,2,26.00,31909.80,0.02,0.07,A,F,1992-05-15,1992-06-27,1992-06-09,COLLECT COD,TRUCK,ts. bold ideas ought to sleep slyly. ,2025-02-28 12:00:00
337861,8673,932,3,40.00,63266.80,0.08,0.03,R,F,1992-07-13,1992-06-27,1992-07-31,NONE,MAIL,endencies wake caref,2025-02-28 12:00:00
337861,2146,651,4,1.00,1048.14,0.10,0.04,R,F,1992-07-13,1992-07-11,1992-08-12,TAKE BACK RETURN,FOB, express accounts,2025-02-28 12:00:00
