o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
1,3691,O,194029.55,1996-01-02,5-LOW,"Clerk#000000951",0,ly express platelets. deposits acc
2,7801,O,60951.63,1996-12-01,1-URGENT,"Clerk#000000880",0,ve the furiously fluffy dependencies. carefully regular 
3,12332,F,247296.05,1993-10-14,5-LOW,"Clerk#000000955",0, after the asymptotes. instructions cajole after the foxes. carefully unu
4,13678,O,53829.87,1995-10-11,5-LOW,"Clerk#000000124",0,st the furiously bold pinto beans. furiously pending theodolites cajol
5,4450,F,139660.54,1994-07-30,5-LOW,"Clerk#000000925",0,onic requests. carefully daring foxes among the carefu
6,5563,F,65843.52,1992-02-21,4-NOT SPECIFIED,"Clerk#000000058",0,furiously ironic accounts haggle blithely carefully regular de
7,3914,O,231037.28,1996-01-10,2-HIGH,"Clerk#000000470",0,", ironic packages wa"
32,13006,O,166802.63,1995-07-16,2-HIGH,"Clerk#000000616",0,"ly about the carefully express theodolites. ironic, iron"
33,6697,F,118518.56,1993-10-27,3-MEDIUM,"Clerk#000000409",0," careful, regular courts. unusual"
34,6101,O,75662.77,1998-07-21,3-MEDIUM,"Clerk#000000223",0,osits according to the ideas are furiously final requests? slyly pe
35,12760,O,192885.43,1995-10-23,4-NOT SPECIFIED,"Clerk#000000259",0,ing dugouts alongside of the silently ironi
36,11527,O,72196.43,1995-11-03,1-URGENT,"Clerk#000000358",0,kages sleep after the furiously regular accounts. slyly eve
37,8612,F,156440.15,1992-06-03,3-MEDIUM,"Clerk#000000456",0,aggle carefully. fluffily ironic packages integrate slyly blit
38,12484,O,64695.26,1996-08-21,4-NOT SPECIFIED,"Clerk#000000604",0,counts. blithely express packages cajole fluffily. fluffily regular courts na
39,8177,O,307811.89,1996-09-20,3-MEDIUM,"Clerk#000000659",0,accounts since the pending dugou
64,3212,F,30616.90,1994-07-16,3-MEDIUM,"Clerk#000000661",0,lly according to the pending dinos. carefully bold depths det
65,1627,P,99763.79,1995-03-18,1-URGENT,"Clerk#000000632",0,"ounts sleep against the regular foxes. deposits nag express, express foxes. f"
66,12920,F,100991.26,1994-01-20,5-LOW,"Clerk#000000743",0, regular ideas. evenly unusu
