l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
124454,4751,42,1,21.00,34770.75,0.08,0.02,N,O,1995-10-24,1995-10-26,1995-11-23,NONE,SHIP,"nt, ironic reques"
124454,4243,11,2,18.00,20650.32,0.05,0.08,N,O,1995-08-11,1995-10-24,1995-08-18,COLLECT COD,SHIP,aggle furi
124454,551,180,3,20.00,29031.00,0.08,0.07,N,O,1995-09-05,1995-10-10,1995-09-21,NONE,RAIL, pending t
135943,2969,138,1,37.00,69262.52,0.03,0.05,A,F,1993-07-07,1993-09-17,1993-07-22,DELIVER IN PERSON,AIR, against the quickly 
135943,1097,132,2,37.00,36929.33,0.09,0.08,R,F,1993-08-04,1993-08-28,1993-09-01,NONE,FOB,. furiously eve
135943,4313,203,3,43.00,52344.33,0.10,0.04,A,F,1993-09-12,1993-07-22,1993-09-29,COLLECT COD,TRUCK,s wake furiously a
135943,2246,147,4,28.00,32150.72,0.02,0.08,A,F,1993-09-27,1993-09-07,1993-10-27,DELIVER IN PERSON,SHIP,bout the blith
135943,4610,81,5,34.00,51496.74,0.01,0.05,A,F,1993-10-12,1993-09-06,1993-10-31,TAKE BACK RETURN,AIR,sits wake furiously acr
137603,4711,212,1,16.00,25851.36,0.10,0.03,R,F,1994-11-12,1994-11-12,1994-11-20,TAKE BACK RETURN,REG AIR,eas. slyly even dinos detect at the car
137603,1672,253,2,47.00,73962.49,0.07,0.01,R,F,1994-10-13,1994-11-06,1994-10-16,TAKE BACK RETURN,REG AIR,se about the pen
137603,5198,99,3,5.00,5515.95,0.04,0.04,A,F,1994-11-27,1994-11-12,1994-12-27,NONE,RAIL,s theodolites. carefully regular 
138657,854,109,1,8.00,14038.80,0.05,0.00,N,O,1996-04-25,1996-07-07,1996-05-08,DELIVER IN PERSON,FOB, cajole across the carefully ironic in
138657,3359,232,2,44.00,55543.40,0.04,0.04,N,O,1996-08-01,1996-05-30,1996-08-17,TAKE BACK RETURN,SHIP,nts; slowly
138657,2138,285,3,32.00,33284.16,0.03,0.00,N,O,1996-06-28,1996-06-05,1996-07-18,TAKE BACK RETURN,SHIP,deposits according to the carefully even de
138657,3522,9,4,43.00,61297.36,0.07,0.08,N,O,1996-06-24,1996-05-17,1996-07-18,DELIVER IN PERSON,SHIP,about the 
138657,264,115,5,11.00,12806.86,0.03,0.02,N,O,1996-04-26,1996-05-17,1996-05-04,COLLECT COD,REG AIR,rbits are fluffily
160516,3385,44,1,17.00,21902.46,0.04,0.02,N,O,1995-11-19,1995-11-17,1995-11-25,DELIVER IN PERSON,REG AIR,lly express accounts are quickly acr
160516,1701,142,2,49.00,78532.30,0.04,0.00,N,O,1995-12-30,1995-10-19,1996-01-29,NONE,AIR,"ounts? regular, "
160516,4258,148,3,36.00,41841.00,0.08,0.02,N,O,1995-10-09,1995-11-16,1995-10-24,DELIVER IN PERSON,SHIP,ermanent ideas above 
160516,5950,233,4,31.00,57534.45,0.07,0.00,N,O,1995-12-19,1995-10-24,1996-01-17,COLLECT COD,FOB,symptotes cajole quickly iron
161568,5002,176,1,23.00,20861.00,0.04,0.00,R,F,1992-02-05,1992-03-01,1992-02-24,COLLECT COD,TRUCK,. blithely special asymptotes solve car
161568,3843,31,2,47.00,82101.48,0.04,0.05,A,F,1992-03-07,1992-03-28,1992-04-05,COLLECT COD,MAIL,nts. blithely 
161797,5750,239,1,42.00,69541.50,0.06,0.02,A,F,1995-03-12,1995-02-24,1995-03-21,NONE,RAIL, pinto beans. quickly express deposits slee
161797,870,125,2,14.00,24792.18,0.06,0.01,A,F,1995-03-21,1995-02-14,1995-04-05,TAKE BACK RETURN,REG AIR,ve fluffily fu
161797,705,37,3,31.00,49776.70,0.02,0.00,A,F,1995-02-11,1995-01-31,1995-03-02,TAKE BACK RETURN,AIR,ong the carefully regular excuses doze 
161797,3044,215,4,31.00,29358.24,0.10,0.07,R,F,1995-03-01,1995-02-25,1995-03-24,COLLECT COD,SHIP,old accounts use furiously alongside of th
161892,4863,246,1,26.00,45964.36,0.09,0.08,A,F,1994-03-29,1994-05-12,1994-04-24,TAKE BACK RETURN,MAIL,carefully bold forges
161892,3816,217,2,36.00,61913.16,0.07,0.08,A,F,1994-04-07,1994-04-24,1994-04-18,DELIVER IN PERSON,MAIL, pinto beans. furio
161892,4413,3,3,38.00,50061.58,0.00,0.01,R,F,1994-05-14,1994-05-11,1994-06-04,COLLECT COD,MAIL,e blithely against the blithe reques
161892,4785,256,4,6.00,10138.68,0.07,0.04,R,F,1994-03-12,1994-04-24,1994-04-02,NONE,REG AIR," nag express, pend"
164711,2476,26,1,34.00,46867.98,0.09,0.05,A,F,1992-04-27,1992-07-23,1992-05-22,NONE,AIR,ans. asymptotes 
164711,786,41,2,15.00,25301.70,0.01,0.00,A,F,1992-05-18,1992-06-12,1992-06-11,TAKE BACK RETURN,TRUCK,es boost furiou
164711,2022,4,3,38.00,35112.76,0.00,0.00,R,F,1992-07-17,1992-06-11,1992-08-12,DELIVER IN PERSON,MAIL,out the quickly
164711,1979,261,4,38.00,71476.86,0.09,0.04,A,F,1992-07-16,1992-07-05,1992-08-06,TAKE BACK RETURN,FOB,lyly bold somas ought t
164711,2094,295,5,34.00,33867.06,0.04,0.06,R,F,1992-05-09,1992-05-26,1992-05-24,DELIVER IN PERSON,RAIL,"s. ironic, final ideas haggle s"
