o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
161568,4,F,102784.85,1992-01-25,2-HIGH,"Clerk#000000407",0,ts. slyly express deposits sleep. carefully unusual foxes cajole
74055,2,F,223645.50,1992-04-18,1-URGENT,"Clerk#000000656",0,fily unusual foxes cajole. 
164711,1,F,261534.48,1992-04-26,3-MEDIUM,"Clerk#000000361",0,fully special ideas. fluffil
112964,2,F,103663.69,1992-05-28,2-HIGH,"Clerk#000000795",0," ideas. blithely final packages haggle. even, express accou"
88128,2,F,49755.47,1992-05-30,2-HIGH,"Clerk#000000033",0,xes use up the packages. slyly bold foxes use; carefully spe
106243,2,F,150903.22,1992-08-24,4-NOT SPECIFIED,"Clerk#000000212",0,posits! carefully regular pinto beans in pl
29408,5,F,150946.40,1993-05-03,4-NOT SPECIFIED,"Clerk#000000106",0,te furiously slyly unusu
31653,4,F,143905.47,1993-06-05,2-HIGH,"Clerk#000000346",0, lose silent ideas.
135943,1,F,243391.45,1993-06-22,4-NOT SPECIFIED,"Clerk#000000685",0,ironic ideas affix furiously ac
43879,1,F,82283.19,1993-08-13,2-HIGH,"Clerk#000000092",0,nding pinto beans. furiou
10563,4,F,188233.68,1993-09-30,1-URGENT,"Clerk#000000889",0,yly along the slyly even packages. slyl
90019,1,F,84904.62,1993-10-28,5-LOW,"Clerk#000000057",0,s cajole blithely. ironic frets dazzle about the quickly final ideas. blithe
161892,2,F,167727.63,1994-03-06,5-LOW,"Clerk#000000991",0,encies at the quickly pending requests 
52263,1,F,47855.37,1994-05-08,4-NOT SPECIFIED,"Clerk#000000080",0,"uests dazzle blithely against the final, final requests. regular theodo"
109122,5,F,270593.27,1994-09-02,4-NOT SPECIFIED,"Clerk#000000999",0,eas. stealthily final orbits promise fluffily e
137603,4,F,98944.28,1994-09-07,5-LOW,"Clerk#000000622",0, fluffily bold packages cajole carefully carefully enticing accounts! b
178340,5,F,206787.43,1994-09-29,4-NOT SPECIFIED,"Clerk#000000868",0,riously final forges. slyly ironic excuses integrate against th
161797,5,F,167267.20,1994-12-04,5-LOW,"Clerk#000000795",0,cies. slyly even pinto beans are carefully according to the dugouts. 
78080,4,F,113267.40,1995-02-28,2-HIGH,"Clerk#000000035",0,e the carefully final requests. regularly ironic
120160,1,P,174021.56,1995-04-09,3-MEDIUM,"Clerk#000000105",0,"efully even instructions. special, regular ideas ac"
86947,2,O,50194.45,1995-07-26,5-LOW,"Clerk#000000099",0,egular excuses. eve
124454,4,O,82394.20,1995-08-06,5-LOW,"Clerk#000000835",0,ackages dazzle. slyly final Tiresias nag alongside of the sl
160516,1,O,189608.50,1995-09-18,4-NOT SPECIFIED,"Clerk#000000628",0,yly regular depende
53283,2,O,178753.15,1995-10-29,2-HIGH,"Clerk#000000802",0,s. furiously pending foxes are fluf
76292,4,O,186447.89,1995-12-08,3-MEDIUM,"Clerk#000000192",0," the regular, regular deposits breach slyly final deposits. slyl"
20257,5,O,151876.69,1996-03-04,4-NOT SPECIFIED,"Clerk#000000317",0,"nusual, brave pinto beans "
38276,4,O,197319.88,1996-03-13,5-LOW,"Clerk#000000353",0,jole according to the blithely final 
138657,4,O,175315.17,1996-04-08,4-NOT SPECIFIED,"Clerk#000000588",0,"y express instructions hang after the final, final asymptotes. pendi"
100064,1,O,51403.32,1996-04-10,2-HIGH,"Clerk#000000604",0,eas are furiously. blithely ir
107683,4,O,21953.97,1996-05-27,3-MEDIUM,"Clerk#000000395",0,osits. furiously bold asymptotes about the slyly pending requests detect 
40070,4,O,49101.02,1996-09-17,3-MEDIUM,"Clerk#000000890",0,above the regular pains integra
144610,2,O,214812.66,1996-11-11,3-MEDIUM,"Clerk#000000379",0,"lar pains boost. unusual, final dolphins nag quic"
70819,1,O,213217.64,1996-11-20,4-NOT SPECIFIED,"Clerk#000000415",0," deposits. even, final dolphins boo"
24322,1,O,198296.45,1997-01-29,1-URGENT,"Clerk#000000100",0,eans cajole about the furiously pending
36422,1,O,256852.00,1997-03-04,3-MEDIUM,"Clerk#000000532",0,s. slyly regular platelets doubt slyly after the thinly
68579,2,O,225306.64,1997-03-19,2-HIGH,"Clerk#000000701",0, ironic pinto beans caj
153857,4,O,121238.42,1997-06-04,2-HIGH,"Clerk#000000383",0,ng the carefully permanent courts. silent instructions above the ironic
9154,1,O,310135.02,1997-06-23,4-NOT SPECIFIED,"Clerk#000000328",0,"ld deposits. express, final accounts affix fluff"
139072,4,O,335328.86,1997-09-02,5-LOW,"Clerk#000000186",0,posits. fluffily ironic asymptotes hagg
152289,4,O,183821.15,1997-09-20,5-LOW,"Clerk#000000534",0,"posits. quickly even packages across the special, u"
14656,4,O,32272.58,1997-11-18,2-HIGH,"Clerk#000000270",0, fluffily against the furious
146884,4,O,172475.31,1997-12-24,5-LOW,"Clerk#000000474",0,ggle furiously regular deposits. carefully final requests nag furiously a
83684,1,O,66603.72,1998-03-19,3-MEDIUM,"Clerk#000000419",0, carefully ironic deposits snooze among the ironic packages. silently unus
34019,4,O,91290.90,1998-03-29,5-LOW,"Clerk#000000815",0,"ckages across the silent, unusual package"
66695,2,O,35376.11,1998-06-26,3-MEDIUM,"Clerk#000000674",0,ss the pending foxes. blithely p
